objectid,filename,title,creator,editor,publisher,location,latitude,longitude,date,subject,description,source,identifier,format,language,rights,rightsstatement
W.2005.1.80,W.2005.1.80.jpg,Everything that Rises Must Converge,Flannery O'Connor, ,"Farrar, Strarus,and Giroux","New York, NY",40.712776,-74.005974,1965,Fiction,"""Welty"" on inside front cover. Note: ",Mississippi Department of Archives and History,W.2005.1.80,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.81,W.2005.1.81.jpg,Celestial Navigation,Anne Tyler, ,J. Curley,"South Yarmouth, MA",41.66676,-70.1851,1981,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.81,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.82,W.2005.1.82.jpg,Knights and Dragons,Elizabeth Spencer, ,McGraw-Hill,"New York, NY",40.712776,-74.005974,1965,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.82,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.83,W.2005.1.83.jpg,Lost in the Cosmos,Walker Percy, ,"Farrar, Strarus,and Giroux","New York, NY",40.712776,-74.005974,2000,Non-fiction,"Inscription on title page: ""Walker Percy"" Note: ",Mississippi Department of Archives and History,W.2005.1.83,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.84,W.2005.1.84.jpg,Lancelot,Waker Percy, ,"Farrar, Strarus,and Giroux","New York, NY",40.712776,-74.005974,1977,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.84,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.85,W.2005.1.85.jpg,No Place for an Angel,Elizabeth Spencer, ,McGraw-Hill,"New York, NY",40.712776,-74.005974,1967,Fiction,"""For Eudora With devotion and love for books and her.  Elizabeth  Jackson 19 Sept. 1967""  Inscription on title page is ""Eudora Welty"" Note: ",Mississippi Department of Archives and History,W.2005.1.85,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.86,W.2005.1.86.jpg,Mystery and Manners,Flannery O'Connor, ,"Farrar, Strarus,and Giroux","New York, NY",40.712776,-74.005974,1974,Anthology, Note: ,Mississippi Department of Archives and History,W.2005.1.86,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.87,W.2005.1.87.jpg,The Leaning Tower and Other Stories,Katherine Anne Porter, ,"Harcourt, Brace, & Company","New York, NY",40.712776,-74.005974,1963,Fiction,"Eudora!/ Katherine Anne,/ The same-/ September 18, 1944 Note: ",Mississippi Department of Archives and History,W.2005.1.87,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.88,W.2005.1.88.jpg,Flowering Judas and Other Stories,Katherine Anne Porter, ,"Harcourt, Brace, & Company","New York, NY",40.712776,-74.005974,1940,Fiction,"""To Eudora/ from Katherine Anne/ at Saratoga Springs/ August 29 1940/ with love and many/ good hopes for her/ life"" Note: ",Mississippi Department of Archives and History,W.2005.1.88,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.89,W.2005.1.89.jpg,"Pale Horse, Pale Rider ",Katherine Anne Porter, ,"Harcourt, Brace, & Company","New York, NY",40.712776,-74.005974,1939,Fiction,"

""Eudora Welty"" on front fly page. Note: ",Mississippi Department of Archives and History,W.2005.1.89,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.90,W.2005.1.90.jpg,Ship of Fools,Katherine Anne Porter, ,"Atlantic-Little, Brown","Boston, MA",42.360256,-71.057281,1962,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.90,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.91,W.2005.1.91.jpg,Everything that Rises Must Converge,Flannery O'Connor, ,"Farrar, Strarus,and Giroux","New York, NY",40.712776,-74.005974,1976,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.91,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.92,W.2005.1.92.jpg,This Crooked Way,Elizabeth Spencer, ,"Dodd, Mead, & Co","New York, NY",40.712776,-74.005974,1952,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.92,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.93,W.2005.1.93.jpg,A Slipping-Down Life,Anne Tyler, ,Alfred A. Knopf,"New York, NY",40.712776,-74.005974,1985,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.93,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.94,W.2005.1.94.jpg,The Second Coming,Walker Percy, ,"Farrar, Strarus,and Giroux","New York, NY",40.712776,-74.005974,1980,Fiction,"Inscribed on title page ""Walker Percy."" Note: ""Privately printed exclusively for members of the First Edition Society.""",Mississippi Department of Archives and History,W.2005.1.94,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.95,W.2005.1.95.jpg,Earthly Possesions,Anne Tyler, ,Alfred A. Knopf,"New York, NY",40.712776,-74.005974,1977,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.95,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.96,W.2005.1.96.jpg,Morgan's Passing,Anne Tyler, ,Alfred A. Knopf,"New York, NY",40.712776,-74.005974,1981,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.96,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.97,W.2005.1.97.jpg,The Accidental Tourist,Anne Tyler, ,Alfred A. Knopf,"New York, NY",40.712776,-74.005974,1985,Fiction,"


Inscription on front fly pages reads ""Eudora Welty  September 1985"" Note: ",Mississippi Department of Archives and History,W.2005.1.97,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.98,W.2005.1.98.jpg,The Accidental Tourist,Anne Tyler, ,Alfred A. Knopf,"New York, NY",40.712776,-74.005974,1985,Fiction, Note: ,Mississippi Department of Archives and History,W..2005.1.98,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
